ID;ID_CONTROLE;HORA_INPUT;OBSERVACAO;ID_CAUSA_ID;ID_M_MATERIAL;VELOCIDADE;FLAG
93107;10236;1900-01-01 00:55:00.000;;59;310017935;16;L
93123;10236;1900-01-01 01:55:00.000;;59;310017935;16;L
93124;10236;1900-01-01 02:55:00.000;;59;310017935;16;L
93125;10236;1900-01-01 03:15:00.000;Parada de linha - TESTE DE COMPRESSÃO REPROVADO;10542;310017935;16;P
92975;10224;1900-01-01 07:20:00.000;Lançamento - lançamento ok;34;31056639;20;E
92978;10224;1900-01-01 08:20:00.000;;59;31056639;20;L
92988;10224;1900-01-01 09:20:00.000;;59;31056639;20;L
92989;10224;1900-01-01 10:20:00.000;;59;31056639;20;L
92994;10224;1900-01-01 11:00:00.000;Parada de linha - FIM DE PRODUÇÃO;10512;31056639;20;P
93016;10228;1900-01-01 12:40:00.000;Lançamento - LANÇAMENTO OK;34;31085152;26;E
93017;10228;1900-01-01 13:40:00.000;;59;31085152;26;L
93028;10228;1900-01-01 14:00:00.000;Parada de linha -PARADA DEVUDI DETRITO TROCAMOS CO...;10520;31085152;26;P
93029;10231;1900-01-01 14:40:00.000;Lançamento - APÓS PARADA LIMPEZA E TROCA DE COMP...;34;31085152;26;E
93038;10231;1900-01-01 15:40:00.000;;59;31085152;26;L
93041;10231;1900-01-01 16:40:00.000;;59;31085152;26;L
93052;10231;1900-01-01 17:00:00.000;Parada de linha - DETRITO COMPOSTO BXE26LF EXTRUSO...;10541;31085152;26;P
93055;10234;1900-01-01 18:15:00.000;Lançamento - AJUSTE PERFIL MARCANDO NO FORNO INFR...;34;310013315;12;E
93060;10234;1900-01-01 19:15:00.000;;59;310013315;12;L
93074;10234;1900-01-01 20:15:00.000;COMPOSTO BXC27GH;8;310013315;12;L
93075;10234;1900-01-01 20:55:00.000;Parada de linha - DETRITO BOLHA COMPOSTO BXE 27GH;10540;310013315;12;P
93090;10236;1900-01-01 21:55:00.000;Lançamento - AJUSTE RPM, EXTRUSORA C MAIS 4,5 RPM;34;310017935;16;E
93091;10236;1900-01-01 22:55:00.000;;59;310017935;16;L
93099;10236;1900-01-01 23:55:00.000;;59;310017935;16;L
